team_name,wins,losses,win_pct,srs,sos,points_for,points_against,year
Air Force,16.0,14.0,0.533,0.44,0.19,1760.0,1715.0,2008
Akron,24.0,11.0,0.686,6.24,0.33,2479.0,2233.0,2008
Alabama,17.0,16.0,0.515,8.12,5.7,2484.0,2404.0,2008
Alabama A&M,14.0,15.0,0.483,-16.14,-12.97,1910.0,1952.0,2008
Alabama State,20.0,11.0,0.645,-7.73,-12.7,2202.0,2016.0,2008
Albany (NY),15.0,15.0,0.5,-4.05,-5.92,2048.0,1992.0,2008
Alcorn State,7.0,24.0,0.226,-23.12,-11.47,2100.0,2445.0,2008
American,21.0,12.0,0.636,-1.87,-4.0,2140.0,2049.0,2008
Appalachian State,18.0,13.0,0.581,-0.71,-2.77,2214.0,2147.0,2008
Arizona,19.0,15.0,0.559,14.55,10.22,2443.0,2276.0,2008
Arizona State,21.0,13.0,0.618,10.31,6.28,2271.0,2106.0,2008
Arkansas,23.0,12.0,0.657,12.48,6.73,2593.0,2392.0,2008
Arkansas State,10.0,20.0,0.333,-7.75,-2.02,2118.0,2185.0,2008
Arkansas-Pine Bluff,13.0,18.0,0.419,-17.8,-12.56,1869.0,1999.0,2008
Army,14.0,16.0,0.467,-8.62,-5.04,1770.0,1862.0,2008
Auburn,14.0,16.0,0.467,2.31,4.7,2141.0,2183.0,2008
Austin Peay,24.0,11.0,0.686,-2.21,-5.24,2590.0,2477.0,2008
Ball State,6.0,24.0,0.2,-5.61,0.5,1733.0,1918.0,2008
Baylor,21.0,11.0,0.656,11.46,5.75,2601.0,2396.0,2008
Belmont,25.0,9.0,0.735,-0.12,-3.44,2714.0,2497.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Bethune-Cookman,11.0,21.0,0.344,-15.97,-10.89,1862.0,1976.0,2008
Binghamton,14.0,16.0,0.467,-6.84,-6.0,1976.0,2001.0,2008
Boise State,25.0,9.0,0.735,1.6,-2.07,2767.0,2567.0,2008
Boston College,14.0,17.0,0.452,6.46,7.75,2203.0,2243.0,2008
Boston University,14.0,17.0,0.452,-6.69,-4.91,1954.0,2009.0,2008
Bowling Green,13.0,17.0,0.433,-5.09,-0.63,1904.0,2038.0,2008
Bradley,21.0,17.0,0.553,6.23,4.25,2805.0,2724.0,2008
Brigham Young,27.0,8.0,0.771,11.82,1.33,2580.0,2213.0,2008
Brown,19.0,10.0,0.655,-0.65,-4.65,1997.0,1881.0,2008
Bucknell,12.0,19.0,0.387,-6.88,-3.88,1925.0,2023.0,2008
Buffalo,10.0,20.0,0.333,-3.9,0.61,2146.0,2251.0,2008
Butler,30.0,4.0,0.882,13.0,2.64,2339.0,1985.0,2008
Cal Poly,12.0,18.0,0.4,-9.48,-2.08,1896.0,2071.0,2008
Cal State Bakersfield,8.0,21.0,0.276,,,1929.0,2177.0,2008
Cal State Fullerton,24.0,9.0,0.727,5.64,-3.06,2700.0,2398.0,2008
Cal State Northridge,20.0,10.0,0.667,1.23,-2.81,2340.0,2132.0,2008
California,17.0,16.0,0.515,9.36,8.45,2521.0,2478.0,2008
Campbell,10.0,20.0,0.333,-11.91,-6.62,2144.0,2237.0,2008
Canisius,6.0,25.0,0.194,-14.3,-3.14,1923.0,2269.0,2008
Centenary (LA),10.0,21.0,0.323,-10.86,-1.71,2164.0,2395.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Central Arkansas,14.0,16.0,0.467,,,1999.0,2018.0,2008
Central Connecticut State,14.0,16.0,0.467,-5.31,-6.68,2095.0,2054.0,2008
Central Michigan,14.0,17.0,0.452,-3.22,0.19,2208.0,2244.0,2008
Charleston Southern,10.0,20.0,0.333,-15.23,-4.63,2225.0,2307.0,2008
Charlotte,20.0,14.0,0.588,6.54,4.34,2366.0,2291.0,2008
Chattanooga,18.0,13.0,0.581,-1.22,-1.12,2344.0,2260.0,2008
Chicago State,11.0,17.0,0.393,-10.63,1.47,2050.0,2221.0,2008
Cincinnati,13.0,19.0,0.406,4.86,8.51,2067.0,2168.0,2008
Clemson,24.0,10.0,0.706,18.05,9.08,2693.0,2372.0,2008
Cleveland State,21.0,13.0,0.618,3.38,1.69,2281.0,2161.0,2008
Coastal Carolina,13.0,15.0,0.464,-11.52,-5.44,1936.0,2004.0,2008
Colgate,18.0,14.0,0.563,-5.63,-5.06,2095.0,2076.0,2008
College of Charleston,16.0,17.0,0.485,-2.22,-2.31,2391.0,2388.0,2008
Colorado,12.0,20.0,0.375,4.05,6.76,1997.0,2061.0,2008
Colorado State,7.0,25.0,0.219,-7.09,2.8,2051.0,2318.0,2008
Columbia,14.0,15.0,0.483,-8.45,-5.79,1846.0,1859.0,2008
Connecticut,24.0,9.0,0.727,15.54,6.76,2556.0,2266.0,2008
Coppin State,16.0,21.0,0.432,-14.51,-6.2,2212.0,2443.0,2008
Cornell,22.0,6.0,0.786,0.76,-4.74,2136.0,1917.0,2008
Creighton,22.0,11.0,0.667,8.06,4.45,2360.0,2177.0,2008
nan,,,,,,,,2008
School,,,,,,,,2008
Dartmouth,10.0,18.0,0.357,-14.56,-7.19,1769.0,1933.0,2008
Davidson,29.0,7.0,0.806,13.93,1.66,2803.0,2274.0,2008
Dayton,23.0,11.0,0.676,7.98,4.06,2317.0,2184.0,2008
Delaware,14.0,17.0,0.452,-5.82,-2.43,1956.0,2061.0,2008
Delaware State,14.0,16.0,0.467,-11.51,-6.88,1769.0,1853.0,2008
Denver,11.0,19.0,0.367,-6.14,-2.22,1698.0,1811.0,2008
DePaul,11.0,19.0,0.367,4.31,8.73,2177.0,2273.0,2008
Detroit Mercy,7.0,23.0,0.233,-6.38,1.0,1765.0,1962.0,2008
Drake,28.0,5.0,0.848,14.08,4.15,2440.0,2050.0,2008
Drexel,12.0,20.0,0.375,-7.63,-1.85,1904.0,2064.0,2008
Duke,28.0,6.0,0.824,21.52,9.28,2830.0,2361.0,2008
